Assignment,Due Date
"Final via Examity [click here to begin] 
","May 5, 2019"
"Ch 11Q Pool
","Apr 14, 2019"
"Ch 16Q Pool
","Apr 7, 2019"
"Ch 9Q Pool
","Mar 31, 2019"
"Ch 8Q Pool
","Mar 31, 2019"
"Ch 6 Sim
","Mar 24, 2019"
"Ch 6Q Pool
","Mar 24, 2019"
"Ch 3QP & CP Problems
","Mar 17, 2019"
"Ch 3 Sim
","Mar 17, 2019"
"Midterm via Examity [click here to begin] 
","Mar 20, 2019"
"Ch S5Q Pool
","Feb 17, 2019"
"Week 4 Discussion Board 
","Feb 3, 2019"
"Ch 5Q Pool
","Feb 10, 2019"
"Ch 4 Sim
","Feb 4, 2019"
"Ch 4Q Pool & Forecasting Problems
","Jan 27, 2019"
"Ch 2Q Pool
","Jan 20, 2019"
"Ch 1Q Pool w/ Productivity Calculations
","Jan 20, 2019"
"Orientation Quiz Due January 13 [click here to begin quiz] 
","Jan 13, 2019"
"Practice Problems: Chapter 1
","Oct 7, 2018"
"Total
  ",
"Practice Problems: Chapter 1
","Oct 7, 2018"
"Orientation Quiz Due January 13 [click here to begin quiz] 
","Jan 13, 2019"
"Ch 1Q Pool w/ Productivity Calculations
","Jan 20, 2019"
"Ch 2Q Pool
","Jan 20, 2019"
"Ch 4Q Pool & Forecasting Problems
","Jan 27, 2019"
"Week 4 Discussion Board 
","Feb 3, 2019"
"Ch 4 Sim
","Feb 4, 2019"
"Ch 5Q Pool
","Feb 10, 2019"
"Ch S5Q Pool
","Feb 17, 2019"
"Ch 3 Sim
","Mar 17, 2019"
"Ch 3QP & CP Problems
","Mar 17, 2019"
"Midterm via Examity [click here to begin] 
","Mar 20, 2019"
"Ch 6 Sim
","Mar 24, 2019"
"Ch 6Q Pool
","Mar 24, 2019"
"Ch 8Q Pool
","Mar 31, 2019"
"Ch 9Q Pool
","Mar 31, 2019"
"Ch 16Q Pool
","Apr 7, 2019"
"Ch 11Q Pool
","Apr 14, 2019"
"Final via Examity [click here to begin] 
","May 5, 2019"
"Total
  ",
